,Team,Goals,Goals_Against,Avg_Goals_Per_Match,Cups_Hosted,All_Wins,All_Draws,All_Losses,Total_Matches
0,Russia,66.0,47.0,3.47,0,17,8,-6,19
1,Egypt,3.0,6.0,0.75,0,0,2,2,4
2,United Arab Emirates,2.0,11.0,1.0,0,0,0,2,2
3,Angola,1.0,2.0,0.5,0,0,2,0,2
4,Italy,128.0,77.0,4.92,2,45,21,-40,26
5,Saudi Arabia,9.0,32.0,1.29,0,2,2,3,7
6,El Salvador,1.0,22.0,0.17,0,0,0,6,6
7,Japan,14.0,22.0,2.0,0,4,4,-1,7
8,Slovenia,5.0,10.0,1.67,0,1,1,1,3
9,Yugoslavia,60.0,46.0,3.0,0,16,8,-4,20
10,Australia,11.0,26.0,1.57,0,2,3,2,7
11,Serbia and Montenegro,2.0,10.0,1.0,0,0,0,2,2
12,Hungary,87.0,57.0,6.21,0,15,3,-4,14
13,Turkey,20.0,17.0,2.5,0,5,1,2,8
14,Wales,4.0,4.0,1.0,0,1,3,0,4
15,Iraq,1.0,4.0,1.0,0,0,0,1,1
16,Haiti,2.0,14.0,1.0,0,0,0,2,2
17,Republic of Ireland,10.0,10.0,1.25,0,2,8,-2,8
18,Czech Republic,3.0,4.0,3.0,0,1,0,0,1
19,Switzerland,45.0,60.0,2.05,1,11,6,5,22
20,USA,38.0,64.0,2.0,1,8,6,5,19
21,Canada,0.0,5.0,0.0,0,0,0,2,2
22,Belgium,54.0,68.0,2.16,0,15,9,1,25
23,Bolivia,1.0,20.0,0.2,0,0,1,4,5
24,Tunisia,8.0,17.0,1.0,0,1,4,3,8
25,Korea DPR,6.0,21.0,1.5,0,1,1,2,4
26,Ukraine,5.0,7.0,1.25,0,2,1,1,4
27,Morocco,12.0,18.0,1.33,0,2,4,3,9
28,Spain,92.0,66.0,3.17,1,29,12,-12,29
29,England,79.0,56.0,2.93,1,26,20,-19,27
30,Czechoslovakia,44.0,45.0,2.2,0,11,5,4,20
31,Algeria,14.0,21.0,1.75,0,3,3,2,8
32,Norway,7.0,8.0,1.0,0,2,3,2,7
33,Scotland,25.0,41.0,1.79,0,4,7,3,14
34,German DR,5.0,5.0,1.67,0,2,2,-1,3
35,Chile,41.0,50.0,2.05,1,11,8,1,20
36,Greece,6.0,21.0,0.86,0,2,3,2,7
37,Slovakia,5.0,7.0,2.5,0,1,1,0,2
38,Paraguay,30.0,38.0,1.88,0,7,10,-1,16
39,Peru,19.0,31.0,1.9,0,4,3,3,10
40,Dutch East Indies,0.0,6.0,0.0,0,0,0,1,1
41,Serbia,2.0,3.0,1.0,0,1,0,1,2
42,Poland,44.0,40.0,2.93,0,15,5,-5,15
43,Kuwait,2.0,6.0,0.67,0,0,1,2,3
44,Mexico,58.0,94.0,1.53,2,14,14,10,38
45,Austria,43.0,47.0,2.69,0,12,4,0,16
46,Cameroon,18.0,43.0,1.5,0,4,7,1,12
47,Uruguay,80.0,73.0,3.33,1,20,12,-8,24
48,IR Iran,2.0,10.0,0.4,0,0,2,3,5
49,France,108.0,72.0,3.6,2,29,12,-11,30
50,Brazil,225.0,114.0,8.65,2,71,18,-63,26
51,Cuba,5.0,12.0,5.0,0,1,1,-1,1
52,Senegal,7.0,6.0,2.33,0,2,2,-1,3
53,Ghana,13.0,16.0,1.62,0,4,3,1,8
54,Bosnia and Herzegovina,4.0,4.0,2.0,0,1,0,1,2
55,New Zealand,4.0,14.0,0.8,0,0,3,2,5
56,Zaire,0.0,14.0,0.0,0,0,0,1,1
57,Germany,235.0,123.0,7.12,2,70,20,-57,33
58,Portugal,43.0,29.0,4.3,0,13,4,-7,10
59,South Africa,11.0,16.0,3.67,1,2,4,-3,3
60,Trinidad and Tobago,0.0,4.0,0.0,0,0,1,1,2
61,Iran,5.0,12.0,1.0,0,1,1,3,5
62,Israel,1.0,3.0,0.33,0,0,2,1,3
63,Denmark,27.0,24.0,3.0,0,8,2,-1,9
64,Northern Ireland,13.0,23.0,1.62,0,3,5,0,8
65,Côte d’Ivoire,13.0,14.0,2.17,0,3,1,2,6
66,Nigeria,20.0,28.0,2.0,0,5,3,2,10
67,Bulgaria,22.0,53.0,1.16,0,3,8,8,19
68,Romania,30.0,32.0,2.5,0,8,5,-1,12
69,Croatia,21.0,17.0,1.62,0,7,2,4,13
70,Ecuador,10.0,11.0,1.67,0,4,1,1,6
71,Togo,1.0,6.0,1.0,0,0,0,1,1
72,Netherlands,91.0,49.0,4.14,0,29,14,-21,22
73,Honduras,3.0,14.0,0.75,0,0,3,1,4
74,Korea Republic,31.0,67.0,1.82,0,5,9,3,17
75,Colombia,29.0,29.0,2.23,0,8,2,3,13
76,Costa Rica,18.0,24.0,1.8,0,5,6,-1,10
77,China PR,0.0,9.0,0.0,0,0,0,2,2
78,Jamaica,3.0,9.0,1.5,0,1,0,1,2
79,Argentina,133.0,85.0,4.93,1,44,15,-32,27
80,Sweden,74.0,69.0,3.89,1,16,13,-10,19
