,Team,Goals,Goals_Against,Avg_Goals_Per_Match,Cups_Hosted,All_Wins,All_Draws,All_Losses,Total_Matches
0,IR Iran,0.0,2.0,0.0,0,0,0,1,1
1,Cameroon,2.0,5.0,2.0,0,0,0,1,1
2,Algeria,0.0,2.0,0.0,0,0,1,1,2
3,Denmark,3.0,6.0,1.5,0,1,0,1,2
4,Czech Republic,3.0,4.0,3.0,0,1,0,0,1
5,Mexico,9.0,10.0,1.8,2,2,2,1,5
6,New Zealand,2.0,2.0,1.0,0,0,3,-1,2
7,Honduras,0.0,3.0,0.0,0,0,1,1,2
8,Korea Republic,9.0,12.0,1.8,0,2,2,1,5
9,Italy,16.0,7.0,5.33,2,5,4,-6,3
10,Korea DPR,1.0,12.0,0.5,0,0,0,2,2
11,Sweden,3.0,4.0,1.5,1,1,2,-1,2
12,Poland,2.0,4.0,1.0,0,1,0,1,2
13,South Africa,3.0,5.0,3.0,1,1,1,-1,1
14,Iran,2.0,4.0,2.0,0,0,1,0,1
15,Ghana,9.0,10.0,1.5,0,4,2,0,6
16,Netherlands,15.0,8.0,3.75,0,8,1,-5,4
17,Uruguay,11.0,8.0,5.5,1,3,2,-3,2
18,Argentina,21.0,9.0,7.0,1,7,2,-6,3
19,Slovakia,5.0,7.0,2.5,0,1,1,0,2
20,Serbia,2.0,3.0,1.0,0,1,0,1,2
21,Slovenia,3.0,3.0,3.0,0,1,1,-1,1
22,Côte d’Ivoire,9.0,9.0,2.25,0,2,1,1,4
23,Japan,6.0,9.0,1.5,0,2,2,0,4
24,Chile,3.0,5.0,1.5,1,2,0,0,2
25,Greece,2.0,5.0,2.0,0,1,0,0,1
26,Switzerland,5.0,1.0,1.25,1,3,3,-2,4
27,Paraguay,5.0,4.0,1.25,0,2,3,-1,4
28,Saudi Arabia,2.0,7.0,2.0,0,0,1,0,1
29,Portugal,14.0,6.0,2.8,0,5,3,-3,5
30,Spain,17.0,6.0,3.4,1,9,0,-4,5
31,USA,7.0,11.0,1.75,1,1,3,0,4
32,Trinidad and Tobago,0.0,4.0,0.0,0,0,1,1,2
33,Ecuador,5.0,4.0,2.5,0,2,0,0,2
34,Brazil,19.0,6.0,6.33,2,7,1,-5,3
35,Germany,30.0,11.0,7.5,2,10,1,-7,4
36,Togo,1.0,6.0,1.0,0,0,0,1,1
37,France,10.0,7.0,1.67,2,4,4,-2,6
38,Croatia,2.0,3.0,1.0,0,0,2,0,2
39,England,9.0,7.0,3.0,1,4,4,-5,3
40,Costa Rica,3.0,9.0,1.5,0,0,0,2,2
41,Ukraine,5.0,7.0,1.25,0,2,1,1,4
42,Nigeria,3.0,5.0,1.5,0,0,1,1,2
43,Australia,8.0,12.0,1.6,0,2,2,1,5
44,Angola,1.0,2.0,0.5,0,0,2,0,2
45,Serbia and Montenegro,2.0,10.0,1.0,0,0,0,2,2
46,Tunisia,3.0,6.0,1.5,0,0,1,1,2
